Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
5 6 -8.08884 0.0 -59.7263 10.9447 -37.2071 225.358 -1887.31 223.416 -1879.25 0.0 223.416 -1879.25 87.1478 -59.7263 -1628.4125 49.71 49.71
5 7 -8.432891 0.0 -72.5438 11.0132 -46.8041 225.358 -1887.31 223.39 -1874.51 0.0 223.39 -1874.51 115.45 -72.5438 -1608.2137 71.7219 71.7219
5 8 -8.432891 0.0 -72.5438 11.0132 -46.8041 225.358 -1887.31 223.39 -1874.51 0.0 223.39 -1874.51 115.45 -72.5438 -1608.2137 71.7219 71.7219
5 9 -8.408989 0.0 -72.0208 11.014 -46.8276 225.358 -1887.31 223.377 -1874.93 0.0 223.377 -1874.93 115.454 -72.0208 -1608.1199 71.823 71.823
5 10 -8.36711 0.0 -71.0558 11.0117 -46.8987 225.358 -1887.31 223.408 -1875.86 0.0 223.408 -1875.86 115.698 -71.0558 -1607.8098 72.1052 72.1052
5 11 -8.36711 0.0 -71.0558 11.0117 -46.8987 225.358 -1887.31 223.408 -1875.86 0.0 223.408 -1875.86 115.698 -71.0558 -1607.8098 72.1052 72.1052
6 0 -7.0671253 0.0 -32.1114 10.8244 -37.5656 225.358 -1887.31 226.246 -1910.16 0.0 226.246 -1910.16 85.3101 -32.1114 -1630.7153 54.4799 54.4799
6 1 -6.457579 0.0 -16.976 10.7507 -37.6281 225.358 -1887.31 226.057 -1923.48 0.0 226.057 -1923.48 83.878 -16.976 -1630.521 56.4003 56.4003
6 2 -7.1058397 0.0 -33.209 10.8109 -37.6165 225.358 -1887.31 226.241 -1909.16 0.0 226.241 -1909.16 85.7705 -33.209 -1630.3575 54.5829 54.5829
6 3 -6.440697 0.0 -16.7066 10.7383 -37.6848 225.358 -1887.31 226.027 -1923.65 0.0 226.027 -1923.65 84.0341 -16.7066 -1630.2955 56.5455 56.5455
6 4 -7.1334424 0.0 -33.7997 10.8153 -37.5802 225.358 -1887.31 226.199 -1908.59 0.0 226.199 -1908.59 86.1323 -33.7997 -1630.0583 54.6195 54.6195
6 5 -6.3550706 0.0 -15.1929 10.7319 -37.7089 225.358 -1887.31 226.011 -1924.6 0.0 226.011 -1924.6 84.0182 -15.1929 -1629.7637 56.9376 56.9376
6 6 -6.8039346 0.0 -20.6115 10.9049 -36.9312 225.358 -1887.31 225.75 -1922.11 0.0 225.75 -1922.11 92.959 -20.6115 -1624.0125 62.4473 62.4473
6 7 -6.8329024 0.0 -21.0589 10.8975 -37.056 225.358 -1887.31 225.706 -1921.96 0.0 225.706 -1921.96 93.3016 -21.0589 -1624.0112 62.4492 62.4492
7 0 -7.578924 0.0 -51.7824 10.8035 -36.3497 225.358 -1887.31 223.249 -1882.3 0.0 223.249 -1882.3 81.7558 -51.7824 -1629.0776 42.1124 42.1124
7 1 -7.6277304 0.0 -51.2568 10.7638 -36.581 225.358 -1887.31 223.202 -1884.13 0.0 223.202 -1884.13 83.3228 -51.2568 -1628.8619 42.6181 42.6181
7 2 -7.6880264 0.0 -51.7178 10.7402 -36.8231 225.358 -1887.31 223.13 -1884.57 0.0 223.13 -1884.57 84.45 -51.7178 -1628.7078 42.8894 42.8894
7 3 -7.7043467 0.0 -51.6156 10.7178 -37.0933 225.358 -1887.31 223.111 -1885.27 0.0 223.111 -1885.27 85.2388 -51.6156 -1628.5359 43.0561 43.0561
7 4 -7.499999 0.0 -50.857 10.7864 -36.6385 225.358 -1887.31 223.148 -1882.6 0.0 223.148 -1882.6 82.0646 -50.857 -1628.2444 43.0004 43.0004
7 5 -7.728657 0.0 -51.7426 10.7023 -37.3517 225.358 -1887.31 223.07 -1885.69 0.0 223.07 -1885.69 86.2476 -51.7426 -1628.115 43.3784 43.3784
7 6 -7.438608 0.0 -49.8355 10.7738 -36.7132 225.358 -1887.31 223.148 -1883.27 0.0 223.148 -1883.27 82.8862 -49.8355 -1627.0714 43.9107 43.9107
7 7 -7.576699 0.0 -51.3289 10.7836 -36.4972 225.358 -1887.31 223.163 -1883.01 0.0 223.163 -1883.01 86.8265 -51.3289 -1624.3495 47.2789 47.2789
7 8 -7.0364895 0.0 -46.0706 10.7791 -36.4804 225.358 -1887.31 223.311 -1882.53 0.0 223.311 -1882.53 82.2212 -46.0706 -1623.0684 47.8877 47.8877
7 9 -7.0415306 0.0 -46.6321 10.7925 -36.3502 225.358 -1887.31 223.671 -1882.15 0.0 223.671 -1882.15 82.2512 -46.6321 -1622.8599 50.4398 50.4398
7 10 -7.139905 0.0 -47.7114 10.9412 -45.7823 225.358 -1887.31 223.172 -1890.52 0.0 223.172 -1890.52 112.398 -47.7114 -1602.6614 70.7628 70.7628
8 0 -8.016091 0.0 -66.0183 10.8194 -37.092 225.358 -1887.31 223.821 -1869.04 0.0 223.821 -1869.04 83.984 -66.0183 -1627.2533 51.5701 51.5701
8 1 -7.8139353 0.0 -61.5129 10.9346 -37.3592 225.358 -1887.31 223.795 -1872.75 0.0 223.795 -1872.75 86.95 -61.5129 -1623.5178 56.4368 56.4368
8 2 -7.7871532 0.0 -61.2945 10.9319 -37.326 225.358 -1887.31 223.762 -1872.57 0.0 223.762 -1872.57 87.0625 -61.2945 -1623.04 56.5663 56.5663
9 0 -6.3965354 0.0 -22.0537 10.864 -36.8833 225.358 -1887.31 225.757 -1913.25 0.0 225.757 -1913.25 83.3243 -22.0537 -1626.2224 58.1315 58.1315
9 1 -6.4607205 0.0 -22.677 10.8645 -36.8881 225.358 -1887.31 225.641 -1913.16 0.0 225.641 -1913.16 84.0064 -22.677 -1626.1897 57.9847 57.9847
9 2 -6.370454 0.0 -21.0473 10.8507 -36.9425 225.358 -1887.31 225.434 -1913.96 0.0 225.434 -1913.96 83.6534 -21.0473 -1625.9199 56.3343 56.3343
9 3 -6.383241 0.0 -21.3268 10.8596 -36.9451 225.358 -1887.31 225.398 -1913.67 0.0 225.398 -1913.67 83.7578 -21.3268 -1625.8411 56.364 56.364
9 4 -6.352319 0.0 -21.0318 10.8682 -36.78 225.358 -1887.31 225.487 -1913.58 0.0 225.487 -1913.58 83.8129 -21.0318 -1625.3118 58.4394 58.4394
10 0 -6.06484 0.0 -12.4014 10.7251 -37.8304 225.358 -1887.31 225.594 -1923.66 0.0 225.594 -1923.66 84.7183 -12.4014 -1625.7491 59.056 59.056
10 1 -6.06484 0.0 -12.4014 10.7251 -37.8304 225.358 -1887.31 225.594 -1923.66 0.0 225.594 -1923.66 84.7183 -12.4014 -1625.7491 59.056 59.056
10 2 -6.1743784 0.0 -16.441 10.8164 -37.5073 225.358 -1887.31 225.923 -1919.25 0.0 225.923 -1919.25 84.5058 -16.441 -1625.2622 59.2155 59.2155
