Entry	Taxonomic lineage IDs	Gene names
P35378	10090	Fshr
A6NHQ2	9606	FBLL1
Q8NEZ5	9606	FBXO22 FBX22
Q78JE5	10090	Fbxo22 Fbx22
Q9D2Y6	10090	Fbxo25 Fbx25
Q5XUX1	9606	FBXW9 FBW9
P0CH38	10116	Fbxo45
Q8BMI0	10090	Fbxo38
Q6X9E4	9606	FBXW12 FBW12 FBXO12 FBXO35
Q9UH90	9606	FBXO40 FBX40 KIAA1195
P24071	9606	FCAR CD89
Q6P3S6	9606	FBXO42 FBX42 JFK KIAA1332
P08508	10090	Fcgr3
P27645	10116	Fcgr3
Q8BK26	10090	Fbxo44 Fbxo6a
A2A6H3	10090	Fbxo47
Q9UKT5	9606	FBXO4 FBX4
D3ZYR1	10116	Fcho2
Q9UKA1	9606	FBXL5 FBL4 FBL5 FLR1
Q13630	9606	TSTA3 SDR4E1
Q5XIP6	10116	Fen1
Q8CEF1	10090	Fem1c Kiaa1785
P39749	10090	Fen1 Fen-1
P07332	9606	FES FPS
Q9CRA9	10090	Fgfr1op2
Q6TA25	10116	Fgfr1op2
Q91ZT5	10090	Fgd4
Q8TAL6	9606	FIBIN PSEC0235
Q5GLZ8	9606	HERC4 KIAA1593
P11403	10090	Fgf4 Fgf-4 Kfgf
P48807	10116	Fgf5 Fgf-5
Q9JI19	10090	Fibp
Q15011	9606	HERPUD1 HERP KIAA0025 MIF1
Q9BSE4	9606	HERPUD2
Q9JJC9	10090	Herpud2 MNCb-2040
Q66HH4	10116	Herpud2
P55075	9606	FGF8 AIGF
P37237	10090	Fgf8 Aigf
Q04666	10116	Hes1 Hes-1 Hl
P49789	9606	FHIT
Q5TGS1	9606	HES3 BHLHB43
Q9JIX3	10116	Fhit
Q9BVA6	9606	FICD HIP13 HYPE UNQ3041/PRO9857
A6NMB9	9606	FIGNL2
Q6AY47	10116	Ficd
Q8VCM7	10090	Fgg
P02680	10116	Fgg
Q08830	9606	FGL1 HFREP1
Q71KU9	10090	Fgl1 Mfire1
Q5M8C6	10116	Fgl1
P11088	10090	Flg
Q96HZ4	9606	HES6 BHLHB41
Q14192	9606	FHL2 DRAL SLIM3
P02671	9606	FGA
Q9CQ92	10090	Fis1 Ttc11
P84817	10116	Fis1 Ttc11
Q91XW8	10090	Fkbp6 Fkbp36
Q6MG81	10116	Fkbpl
P26323	10090	Fli1 Fli-1
Q9Z2G1	10090	Fem1aa Fem1a
P36888	9606	FLT3 CD135 FLK2 STK1
Q60634	10090	Flot2 Esa1 M17s1
Q68DA7	9606	FMN1 FMN LD
Q05860	10090	Fmn1 Fmn Ld
P0C7T7	9606	FRMD6-AS1 C14orf82
P97872	10090	Fmo5
Q06787	9606	FMR1
Q9BXL5	9606	HEMGN EDAG NDR PRO1037 PRO1620
Q6AZ54	10116	Hemgn Rp59
O15520	9606	FGF10
O35565	10090	Fgf10
P70451	10090	Fer Fert2
Q9UHY8	9606	FEZ2
Q6TYB5	10090	Fez2
P61150	10116	Fgf12 Fhf1
Q9Z0Z4	10090	Heph Kiaa0698
P70377	10090	Fgf13 Fhf2
O88842	10090	Fgd3
Q96M96	9606	FGD4 FRABP ZFYVE6
P05981	9606	HPN TMPRSS1
O43320	9606	FGF16
Q9ESL8	10090	Fgf16
O54769	10116	Fgf16
P11487	9606	FGF3 INT2
Q5TD97	9606	FHL5 ACT
Q9CQS3	10090	Fibin
P10767	9606	FGF6 HST2 HSTF2
P21802	9606	FGFR2 BEK KGFR KSAM
Q02195	10116	Fgf7 Fgf-7 Kgf
Q03591	9606	CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2
P61148	10090	Fgf1 Fgf-1 Fgfa
Q9C0D6	9606	FHDC1 INF1 KIAA1727
P54130	10090	Fgf9 Fgf-9
Q8BIX9	10090	Ficd D5Ertd40e
P02679	9606	FGG PRO2061
P70120	10090	Hes5 Hes-5
Q86VR8	9606	FJX1
Q91V79	10090	Fitm1 Fit1
Q9H9S5	9606	FKRP
Q62658	10116	Fkbp1a Fkbp1
Q13045	9606	FLII FLIL
Q96HJ9	9606	FMC1 C7orf55 HSPC268
Q99518	9606	FMO2
Q9NZU1	9606	FLRT1 UNQ752/PRO1483
Q9Z2S9	10116	Flot2 Reg1
Q5VTH2	9606	CFAP126 C1orf192 FLTP
Q80WE1	10116	Fmr1
Q6NWW9	10090	Fndc3b Fad104 Kiaa4164 Ns5abp37
Q8K4Z2	10090	Fndc5 Frcp2 Pep
Q05685	10090	Folr2 Fbp2 Folbp2
P13346	10090	Fosb
E5RQL4	9606	FTCDNL1 FONG
Q63246	10116	Foxc2 Hfhbf3
G5E8F4	10090	Fpgt
Q9UJU5	9606	FOXD3 HFH2
Q8TB52	9606	FBXO30 FBX30
Q0JRZ9	9606	FCHO2
Q3UQN2	10090	Fcho2
P35428	10090	Hes1 Hes-1
Q3ULZ2	10090	Fhdc1 Inf1 Kiaa1727
Q9HCC6	9606	HES4 BHLHB42
Q6GX84	10116	Fignl1 S30
P59266	10090	Fitm2 Fit2
P62942	9606	FKBP1A FKBP1 FKBP12
P26883	10090	Fkbp1a Fkbp1
Q8CG64	10090	Fkrp
O75344	9606	FKBP6 FKBP36
Q9Z2I2	10090	Fkbp1b
P97534	10116	Fkbp1b
O75072	9606	FKTN FCMD
Q8QZS3	10090	Flcn
P26885	9606	FKBP2 FKBP13
Q62446	10090	Fkbp3 Fkbp25
Q01740	9606	FMO1
B3EWG3	9606	FAM25A
D3ZTV3	10116	Flrt2
Q8VHG0	10090	Fmo4
Q8IVF7	9606	FMNL3 FHOD3 FRL2 KIAA2014 WBP3
Q8BG21	10090	Cacfd1
Q9H479	9606	FN3K
Q80TD3	10090	Fnip2 Fnipl Kiaa1450 Mapo1
Q6ZQ03	10090	Fnbp4 Fbp30 Kiaa1014
Q922I5	10090	Foxi1
Q9CRB3	10090	Urah
