Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
7 13 -7.238018 0.0 -37.6357 7.3661 -11.8199 225.358 -1887.31 224.122 -1880.73 0.0 224.122 -1880.73 27.5802 -37.6357 -1666.6636 14.3378 14.3378
7 14 -7.238018 0.0 -37.6357 7.3661 -11.8199 225.358 -1887.31 224.122 -1880.73 0.0 224.122 -1880.73 27.5802 -37.6357 -1666.6636 14.3378 14.3378
7 15 -6.851648 0.0 -31.191 7.21217 -11.4001 225.358 -1887.31 223.503 -1883.24 0.0 223.503 -1883.24 26.8179 -31.191 -1664.11 18.3645 18.3645
7 16 -6.811289 0.0 -30.6955 7.22688 -11.4171 225.358 -1887.31 223.509 -1883.35 0.0 223.509 -1883.35 27.01 -30.6955 -1663.5265 18.5286 18.5286
7 17 -6.7198358 0.0 -29.7874 7.21827 -11.4267 225.358 -1887.31 223.527 -1883.31 0.0 223.527 -1883.31 27.0451 -29.7874 -1662.5254 19.3519 19.3519
8 0 -8.259822 0.0 -52.0501 7.61095 -11.9862 225.358 -1887.31 222.257 -1872.05 0.0 222.257 -1872.05 30.0012 -52.0501 -1671.842 2.40915 2.40915
8 1 -8.363818 0.0 -54.1105 7.50692 -12.284 225.358 -1887.31 222.462 -1871.34 0.0 222.462 -1871.34 32.8172 -54.1105 -1670.1713 5.209 5.209
8 2 -7.659094 0.0 -49.689 7.51431 -11.3191 225.358 -1887.31 222.046 -1865.04 0.0 222.046 -1865.04 28.3846 -49.689 -1664.2985 7.56112 7.56112
8 3 -7.5947943 0.0 -49.5795 7.51022 -11.3161 225.358 -1887.31 222.09 -1864.23 0.0 222.09 -1864.23 28.132 -49.5795 -1663.5875 8.69703 8.69703
8 4 -7.706129 0.0 -46.1915 7.64876 -12.3569 225.358 -1887.31 222.334 -1872.49 0.0 222.334 -1872.49 42.0513 -46.1915 -1654.2963 18.7747 18.7747
8 5 -7.7562575 0.0 -45.402 7.7841 -11.2558 225.358 -1887.31 222.341 -1873.23 0.0 222.341 -1873.23 44.1265 -45.402 -1652.1646 20.8846 20.8846
8 6 -7.4361877 0.0 -42.432 8.01391 -10.9789 225.358 -1887.31 222.18 -1871.71 0.0 222.18 -1871.71 40.7898 -42.432 -1651.1721 20.258 20.258
8 7 -7.36621 0.0 -40.6841 7.62298 -11.5349 225.358 -1887.31 222.362 -1874.71 0.0 222.362 -1874.71 48.7675 -40.6841 -1644.2646 30.4522 30.4522
9 0 -7.895565 0.0 -49.5041 7.23156 -12.4297 225.358 -1887.31 223.238 -1872.58 0.0 223.238 -1872.58 27.4401 -49.5041 -1671.4059 12.4337 12.4337
9 1 -7.901726 0.0 -49.8998 7.24731 -12.4264 225.358 -1887.31 223.263 -1872.08 0.0 223.263 -1872.08 27.3281 -49.8998 -1671.3887 11.6774 11.6774
9 2 -7.883383 0.0 -49.0812 7.22928 -12.4309 225.358 -1887.31 223.232 -1873.03 0.0 223.232 -1873.03 27.5836 -49.0812 -1671.2957 12.9747 12.9747
9 3 -7.726701 0.0 -46.7096 7.48533 -12.3248 225.358 -1887.31 223.113 -1873.45 0.0 223.113 -1873.45 28.6903 -46.7096 -1668.3562 14.9059 14.9059
9 4 -7.639369 0.0 -44.6498 7.46752 -12.3406 225.358 -1887.31 223.184 -1875.36 0.0 223.184 -1875.36 28.9084 -44.6498 -1667.9175 15.8011 15.8011
9 5 -7.639369 0.0 -44.6498 7.46752 -12.3406 225.358 -1887.31 223.184 -1875.36 0.0 223.184 -1875.36 28.9084 -44.6498 -1667.9175 15.8011 15.8011
9 6 -7.6315756 0.0 -45.233 7.48543 -12.2764 225.358 -1887.31 223.178 -1874.23 0.0 223.178 -1874.23 28.629 -45.233 -1667.656 15.7002 15.7002
9 7 -7.6315756 0.0 -45.233 7.48543 -12.2764 225.358 -1887.31 223.178 -1874.23 0.0 223.178 -1874.23 28.629 -45.233 -1667.656 15.7002 15.7002
10 0 -7.7624187 0.0 -40.8215 7.693 -11.8709 225.358 -1887.31 223.818 -1883.45 0.0 223.818 -1883.45 29.3951 -40.8215 -1671.0583 13.4207 13.4207
10 1 -7.7456427 0.0 -40.8945 7.67246 -11.8492 225.358 -1887.31 223.816 -1883.07 0.0 223.816 -1883.07 29.2041 -40.8945 -1670.9443 13.5131 13.5131
11 0 -8.073339 0.0 -43.572 7.37451 -13.1086 225.358 -1887.31 223.877 -1886.1 0.0 223.877 -1886.1 34.8728 -43.572 -1670.9222 13.1682 13.1682
11 1 -8.073339 0.0 -43.572 7.37451 -13.1086 225.358 -1887.31 223.877 -1886.1 0.0 223.877 -1886.1 34.8728 -43.572 -1670.9222 13.1682 13.1682
11 2 -8.073339 0.0 -43.572 7.37451 -13.1086 225.358 -1887.31 223.877 -1886.1 0.0 223.877 -1886.1 34.8728 -43.572 -1670.9222 13.1682 13.1682
11 3 -8.073339 0.0 -43.572 7.37451 -13.1086 225.358 -1887.31 223.877 -1886.1 0.0 223.877 -1886.1 34.8728 -43.572 -1670.9222 13.1682 13.1682
11 4 -8.033306 0.0 -43.1526 7.36697 -13.0863 225.358 -1887.31 223.933 -1886.17 0.0 223.933 -1886.17 34.513 -43.1526 -1670.8767 13.1637 13.1637
11 5 -8.033306 0.0 -43.1526 7.36697 -13.0863 225.358 -1887.31 223.933 -1886.17 0.0 223.933 -1886.17 34.513 -43.1526 -1670.8767 13.1637 13.1637
11 6 -7.6982303 0.0 -40.4647 7.22314 -12.6734 225.358 -1887.31 224.257 -1885.16 0.0 224.257 -1885.16 31.2882 -40.4647 -1670.0796 14.5094 14.5094
11 7 -7.6982303 0.0 -40.4647 7.22314 -12.6734 225.358 -1887.31 224.257 -1885.16 0.0 224.257 -1885.16 31.2882 -40.4647 -1670.0796 14.5094 14.5094
12 0 -7.5870123 0.0 -35.711 7.60276 -11.8028 225.358 -1887.31 222.741 -1886.89 0.0 222.741 -1886.89 29.0292 -35.711 -1670.8308 11.4541 11.4541
12 1 -7.5870123 0.0 -35.711 7.60276 -11.8028 225.358 -1887.31 222.741 -1886.89 0.0 222.741 -1886.89 29.0292 -35.711 -1670.8308 11.4541 11.4541
