From src:'1'	To src:'3'
CHEMBL449221	EQA
CHEMBL391449	H9K
CHEMBL2219813	0LK
CHEMBL1084546	YAM
CHEMBL3732675	C58
CHEMBL334167	SG2
CHEMBL506279	GAN
CHEMBL1235568	QMS
CHEMBL121790	580
CHEMBL1094382	B47
CHEMBL3970784	9EK
CHEMBL191625	P2D
CHEMBL403929	1Z0
CHEMBL3526289	R3X
CHEMBL2017555	0G1
CHEMBL3394057	43K
CHEMBL3183624	2K1
CHEMBL1851811	47A
CHEMBL2170598	NHI
CHEMBL2148124	NG7
CHEMBL3112961	2KS
CHEMBL3582190	3XK
CHEMBL483161	MDY
CHEMBL85	8NU
CHEMBL461147	MB5
CHEMBL2314173	19G
CHEMBL204785	GNF
CHEMBL426926	84G
CHEMBL2177343	DWD
CHEMBL406734	S17
CHEMBL2037224	0F4
CHEMBL3941588	5M7
CHEMBL126568	SB3
CHEMBL573106	586
CHEMBL14130	NPO
CHEMBL56175	NI
CHEMBL345292	LEE
CHEMBL3087806	Q4Q
CHEMBL459008	27K
CHEMBL144207	OYP
CHEMBL2152245	DF0
CHEMBL1235512	PXC
CHEMBL495624	830
CHEMBL1231013	APD
CHEMBL996	CFX
CHEMBL485964	5EA
CHEMBL589399	22X
CHEMBL3127517	1EB
CHEMBL1235943	SIE
CHEMBL563187	HK7
CHEMBL13485	J60
CHEMBL19429	CL
CHEMBL1650282	3KH
CHEMBL219585	EZT
CHEMBL575060	GGL
CHEMBL575060	GLU
CHEMBL2078801	UW9
CHEMBL3628378	35X
CHEMBL1236140	T33
CHEMBL3770259	4AE
CHEMBL443652	OBZ
CHEMBL371732	ILC
CHEMBL538940	492
CHEMBL3781211	58Q
CHEMBL3589099	1LA
CHEMBL3110226	G6T
CHEMBL3793392	OTF
CHEMBL3770568	31P
CHEMBL3775272	9CJ
CHEMBL65386	B1C
CHEMBL131967	OAK
CHEMBL2203964	HPJ
CHEMBL1818120	Q19
CHEMBL1518	3CJ
CHEMBL3617963	WQQ
CHEMBL1230674	9MG
CHEMBL3903896	5E6
CHEMBL1231601	C47
CHEMBL103	STR
CHEMBL1232804	FOS
CHEMBL3780090	5Q4
CHEMBL9790	CNI
CHEMBL1160594	5IU
CHEMBL495072	224
CHEMBL1236691	VSV
CHEMBL6269	MIM
CHEMBL443234	3AE
CHEMBL3818566	W67
CHEMBL3113992	2EU
CHEMBL3301607	2HB
CHEMBL73669	DPC
CHEMBL1594868	1SX
CHEMBL7942	MLA
CHEMBL1234887	O25
CHEMBL364447	7AK
CHEMBL1206429	C4Z
CHEMBL1738931	Y02
CHEMBL3947437	7O8
